# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
1873000 296.3
1874000 275.429
1875000 280.482
1876000 279.5
1877000 281.607
1878000 286.452
1879000 281.314
1880000 277.911
1881000 274.47
1882000 274.399
1883000 281.995
1884000 287.04
1885000 302.295
1886000 305.875
1887000 309.799
1888000 298.98
1889000 301.687
1890000 297.244
1891000 292.734
1892000 305.614
1893000 296.073
1894000 285.615
1895000 282.72
1896000 289.15
1897000 289.289
1898000 285.674
1899000 293.473
1900000 268.251
1901000 275.011
1902000 276.954
1903000 269.113
1904000 274.116
1905000 259.384
1906000 275.844
1907000 262.867
1908000 263.67
1909000 255.161
1910000 256.838
1911000 284.218
1912000 253.797
1913000 273.496
1914000 259.97
1915000 243.689
1916000 226.715
1917000 236.387
1918000 247.032
1919000 241.51
1920000 247.229
1921000 282.992
1922000 277.368
1923000 265.615
1924000 268.659
1925000 265.477
1926000 279.62
1927000 264.968
1928000 263.881
1929000 251.217
1930000 257.557
1931000 265.896
1932000 263.897
1933000 282.615
1934000 270.439
1935000 281.24
1936000 259.71
1937000 248.912
1938000 259.683
1939000 262.13
1940000 272.185
1941000 260.406
1942000 254.267
1943000 275.93
1944000 270.017
1945000 250.829
1946000 259.43
1947000 259.329
1948000 265.9
1949000 279.537
1950000 282.457
1951000 287.113
1952000 280.081
1953000 280.108
1954000 273.604
1955000 278.897
1956000 292.748
1957000 290.112
1958000 310.716
1959000 300.516
1960000 303.487
1961000 284.349
1962000 295.215
1963000 290.156
1964000 291.091
1965000 276.885
1966000 289.102
1967000 273.442
1968000 288.075
1969000 277.961
1970000 288.649
1971000 269.812
1972000 288.158
1973000 278.339
1974000 273.402
1975000 264.512
1976000 267.009
1977000 258.246
1978000 268.179
1979000 247.357
1980000 245.229
1981000 253.118
1982000 255.799
1983000 287.483
1984000 278.027
1985000 292.375
1986000 263.316
1987000 242.636
1988000 241.949
1989000 245.717
1990000 241.834
1991000 255.189
1992000 252.931
1993000 242.882
1994000 255.308
1995000 259.689
1996000 261.214
1997000 253.929
1998000 252.104
1999000 279.587
2000000 266.085
2001000 246.998
2002000 238.116
2003000 249.904
2004000 246.755
2005000 234.526
2006000 255.071
2007000 255.17
2008000 265.101
2009000 253.732
2010000 239.39
2011000 239.784
2012000 248.765
2013000 253.653
2014000 245.035
2015000 262.313
2016000 256.135
2017000 248.464
2018000 268.47
2019000 278.397
2020000 278.274
2021000 263.818
2022000 264.315
2023000 271.935
2024000 258.724
2025000 251.288
2026000 265.088
2027000 253.02
2028000 267.916
2029000 253.969
2030000 227.045
2031000 251.745
2032000 260.279
2033000 247.657
2034000 239.709
2035000 242.715
2036000 235.762
2037000 237.857
2038000 252.106
2039000 240.543
2040000 241.022
2041000 220.952
2042000 221.382
2043000 223.093
2044000 218.06
2045000 212.454
2046000 201.667
2047000 218.645
2048000 232.364
2049000 228.833
2050000 249.105
2051000 250.595
2052000 248.281
2053000 257.038
2054000 252.582
2055000 237.531
2056000 255.052
2057000 244.778
2058000 230.976
2059000 217.304
2060000 184.508
2061000 189.579
2062000 175.009
2063000 204.199
2064000 209.131
2065000 188.236
2066000 199.13
2067000 221.708
2068000 222.249
2069000 227.063
2070000 251.605
2071000 253.074
2072000 237.803
2073000 253.291
2074000 278.006
2075000 275.909
2076000 270.568
2077000 266.497
2078000 262.365
2079000 259.02
2080000 265.426
2081000 251.234
2082000 247.519
2083000 247.05
2084000 244.931
2085000 227.791
2086000 216.635
2087000 235.282
2088000 222.233
2089000 218.958
2090000 219.345
2091000 223.449
2092000 215.062
2093000 214.295
2094000 216.535
2095000 207.708
2096000 213.195
2097000 215.316
2098000 194.365
2099000 236.967
2100000 231.597
2101000 237.805
2102000 229.592
2103000 240.525
2104000 254.542
2105000 238.667
2106000 220.754
2107000 224.496
2108000 220.001
2109000 213.171
2110000 210.181
2111000 215.39
2112000 230.156
2113000 224.859
2114000 239.685
2115000 244.276
2116000 237.657
2117000 218.368
2118000 223.763
2119000 227.249
2120000 218.033
2121000 204.567
2122000 214.247
2123000 223.221
2124000 244.076
2125000 236.128
2126000 223.039
2127000 209.915
2128000 184.83
2129000 192.618
2130000 177.407
2131000 187.581
2132000 198.161
2133000 214.649
2134000 207.85
2135000 209.567
2136000 211.556
2137000 208.044
2138000 196.316
2139000 198.525
2140000 174.411
2141000 185.734
2142000 173.23
2143000 192.964
2144000 195.449
2145000 194.507
2146000 200.384
2147000 181.726
2148000 192.206
2149000 189.581
2150000 168.931
2151000 177.156
2152000 168.113
2153000 190.942
2154000 193.946
2155000 192.201
2156000 167.367
2157000 201.885
2158000 193.006
2159000 223.435
2160000 162.467
2161000 184.63
2162000 168.689
2163000 160.823
2164000 181.982
2165000 163.239
2166000 176.838
2167000 196.036
2168000 191.115
2169000 192.099
2170000 176.899
2171000 172.808
2172000 219.86
2173000 208.979
2174000 180.373
2175000 190.27
2176000 200.535
2177000 184.801
2178000 205.148
2179000 223.315
2180000 193.004
2181000 160.429
2182000 161.922
2183000 147.929
2184000 166.98
2185000 183.48
2186000 142.275
2187000 149.018
2188000 164.295
2189000 198.254
2190000 179.123
2191000 190.504
2192000 203.908
2193000 205.569
2194000 213.166
2195000 207.97
2196000 218.956
2197000 225.402
2198000 208.871
2199000 219.551
2200000 234.614
2201000 218.373
2202000 217.389
2203000 213.938
2204000 215.365
2205000 207.748
2206000 217.329
2207000 222.787
2208000 191.586
2209000 193.945
2210000 193.666
2211000 205.548
2212000 220.93
2213000 207.583
2214000 187.645
2215000 189.656
2216000 198.216
2217000 186.934
2218000 189.934
2219000 212.009
2220000 226.037
2221000 186.859
2222000 187.006
2223000 186.098
2224000 211.628
2225000 186.055
2226000 149.111
2227000 145.571
2228000 149.264
2229000 178.323
2230000 189.177
2231000 189.877
2232000 187.428
2233000 206.593
2234000 191.99
2235000 193.04
2236000 180.366
2237000 173.224
2238000 168.59
2239000 152.787
2240000 149.857
2241000 167.948
2242000 194.917
2243000 201.125
2244000 201.055
2245000 192.774
2246000 191.433
2247000 178.203
2248000 183.897
2249000 173.974
2250000 188.712
2251000 210.7
2252000 200.639
2253000 171.524
2254000 158.064
2255000 199.602
2256000 183.929
2257000 165.722
2258000 143.032
2259000 171.386
2260000 184.448
2261000 194.055
2262000 227.035
2263000 227.401
2264000 219.124
2265000 213.162
2266000 211.171
2267000 225.508
2268000 222.784
2269000 245.617
2270000 214.57
2271000 224.308
2272000 228.489
2273000 201.29
2274000 208.012
2275000 216.484
2276000 215.412
2277000 209.446
2278000 211.813
2279000 227.975
2280000 248.189
2281000 252.748
2282000 241.704
2283000 267.352
2284000 224.515
2285000 223.335
2286000 230.911
2287000 253.674
2288000 227.548
2289000 218.052
2290000 205.732
2291000 218.033
2292000 199.326
2293000 200.637
2294000 212.802
2295000 197.684
2296000 201.749
2297000 201.297
2298000 195.656
2299000 203.001
2300000 191.521
2301000 196.313
2302000 195.945
2303000 207.631
2304000 223.596
2305000 222.573
2306000 221.855
2307000 220.824
2308000 237.8
2309000 269.643
2310000 246.572
