# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
1533000 92 86 98 99
1534000 92.77 86 98 99
1535000 93 86 98 99
1536000 93 86 98 99
1537000 93 86 98 99
1538000 93 86 98 99
1539000 93.87 86 98.77 99
1540000 94 86 99 99
1541000 94 86 99 99
1542000 94.43 86 99 99.64
1543000 95 86 99 101
1544000 95 86 99 101.54
1545000 95.26 86 99.81 103.82
1546000 96 86 100.66 104
1547000 96 86 101 104
1548000 96 86 101 104
1549000 96 86.96 101 104.56
1550000 96 87 101.87 106
1551000 96 87 102 106
1552000 96 87 102.81 106
1553000 96.81 87 103 106
1554000 97.59 87 103 106
1555000 98.9 87.3 104.07 106
1556000 99 88 105 106
1557000 99 88 105 106
1558000 99 88 105 106
1559000 99 88 105 106
1560000 99 88 105 106
1561000 99 88 105 106
1562000 99 88 105 106
1563000 99 88 105.16 106
1564000 99 88 106.15 106
1565000 99 88 107 106
1566000 99 88 107 107.49
1567000 99.85 88 107 108
1568000 100 88 107 108
1569000 100 88 107 108
1570000 100 88.25 107 108
1571000 100 89 107 108
1572000 100 89 107 108
1573000 100 89 107 108.17
1574000 100 89 107 110.08
1575000 100 89 107 111.98
1576000 100.55 89 107 112
1577000 101 89 107 112
1578000 101 89 107.67 112
1579000 101.64 89 108 112
1580000 102 89 108 112.69
1581000 102 89.55 108.42 114
1582000 102 90 109 114
1583000 102 91.1 109 114
1584000 102.42 92 109 114
1585000 103 92 109 114
1586000 103 92 109 114.58
1587000 103 92 109 115
1588000 103 92.32 110.49 115.98
1589000 103 93 111 116
1590000 103 93 111 116
1591000 103 93 111.15 116
1592000 103 93 112.07 116.5
1593000 103 93 113 117.93
1594000 103 93 113 118
1595000 103 93.05 113 118.31
1596000 103 94 113 119
1597000 103 94 113 119
1598000 103 94 113 119
1599000 103 94 113 119
1600000 103.61 94 113 119
1601000 104 94 113 119
1602000 104 94 113 119
1603000 104.43 94 113 119.51
1604000 105 94 113 120
1605000 105 94 113 120
1606000 105 94 113 120
1607000 105 94 113 120
1608000 105 94 113.77 120
1609000 105 94 115 120
1610000 105 94 115.99 120
1611000 105 94.39 116 120
1612000 105 95 116 120
1613000 105 95 116 120
1614000 105 95 116 120
1615000 105 95 116 120
1616000 105 95 116 120.25
1617000 105 95 116 121
1618000 105 95 116.52 121.61
1619000 105 95 117 122
1620000 105 95 117 122.16
1621000 105 95 117 123.3
1622000 105 95 117 124
1623000 105 95 117 124
1624000 105 95 117.02 124
1625000 105 95.3 118 124
1626000 105 96 118.23 124
1627000 105.51 96 119 124.67
1628000 106 96 119.32 125.9
1629000 106 96 120 126
1630000 106 96 120 126
