# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
912000 101.791
913000 99.364
914000 100.422
915000 111.217
916000 101.492
917000 99.8996
918000 102.012
919000 102.727
920000 107.937
921000 103.551
922000 98.625
923000 102.239
924000 102.244
925000 99.5719
926000 91.6495
927000 97.5076
928000 95.2053
929000 98.0808
930000 104.553
931000 99.2855
932000 99.0817
933000 103.515
934000 105.32
935000 106.091
936000 100.564
937000 107.027
938000 107.177
939000 103.811
940000 105.22
941000 108.094
942000 105.12
943000 115.219
944000 111.592
945000 106.723
946000 109.553
947000 94.7676
948000 100.015
949000 117.206
950000 105.719
951000 101.197
952000 103.161
953000 104.327
954000 106.17
955000 103.305
956000 106.443
957000 109.957
958000 97.2837
959000 96.0171
960000 95.0889
961000 102.128
962000 103.181
963000 99.5164
964000 87.9348
965000 95.6563
966000 111.135
967000 112.422
968000 102.647
969000 93.1024
970000 95.2568
971000 98.2321
972000 108.334
973000 104.778
974000 104.655
975000 103.542
976000 103.969
977000 97.7257
978000 101.183
979000 98.5046
980000 93.8073
981000 103.541
982000 103.198
983000 95.3135
984000 96.4951
985000 98.8037
986000 96.0448
987000 97.5046
988000 94.9203
989000 100.748
990000 93.6629
991000 96.0097
992000 102.418
993000 105.752
994000 98.8585
995000 98.8187
996000 110.401
997000 105.826
998000 107.201
999000 103.713
1000000 103.595
1001000 99.3596
1002000 112.788
1003000 105.809
1004000 103.561
1005000 111.613
1006000 95.0333
1007000 104.572
1008000 97.1233
1009000 93.8547
1010000 101.604
1011000 103.19
1012000 105.896
1013000 99.4581
1014000 112.524
1015000 110.476
1016000 106.862
1017000 104.062
1018000 113.892
1019000 109.354
1020000 110.144
1021000 120.152
1022000 115.449
1023000 110.825
1024000 104.488
1025000 101.864
1026000 96.6028
1027000 101.052
1028000 96.5262
1029000 103.738
1030000 103.762
1031000 102.407
1032000 103.903
1033000 109.294
1034000 107.139
1035000 103.756
1036000 96.9413
1037000 108.792
1038000 102.761
1039000 102.53
1040000 102.74
1041000 99.8053
1042000 116.965
1043000 108.628
1044000 106.33
1045000 97.3209
1046000 105.304
1047000 107.356
1048000 101.314
1049000 102.486
1050000 97.288
1051000 103.602
1052000 100.993
1053000 96.9664
1054000 93.0029
1055000 99.5123
1056000 107.499
1057000 107.412
1058000 113.808
1059000 99.9063
1060000 104.314
1061000 97.1058
1062000 98.963
1063000 108.844
1064000 107.436
1065000 106.872
1066000 95.6497
1067000 101.401
1068000 107.815
1069000 107.912
1070000 103.497
1071000 107.436
1072000 106.457
1073000 100.502
1074000 101.485
1075000 96.0217
1076000 95.9812
1077000 101.872
1078000 92.3798
1079000 95.762
1080000 102.932
1081000 108.018
1082000 90.3445
1083000 83.9327
1084000 89.1318
1085000 95.5284
1086000 105.071
1087000 96.7135
1088000 92.2799
1089000 94.1427
1090000 93.2098
1091000 91.988
1092000 98.9133
1093000 103.079
1094000 94.2749
1095000 99.1292
1096000 116.649
1097000 109.362
1098000 111.648
1099000 102.509
1100000 93.911
1101000 99.7455
1102000 102.035
1103000 102.774
1104000 104.491
1105000 104.469
1106000 101.122
1107000 98.9287
1108000 105.559
1109000 103.077
1110000 103.254
1111000 104.426
1112000 104.612
1113000 97.7856
1114000 98.0059
1115000 93.7706
1116000 99.0724
1117000 100.084
1118000 99.5991
1119000 105.896
1120000 101.486
1121000 104.89
1122000 113.49
1123000 97.5443
1124000 99.016
1125000 107.605
1126000 95.9886
1127000 91.1918
1128000 94.8065
1129000 97.0178
1130000 103.555
1131000 93.5957
1132000 100.276
1133000 98.5672
1134000 95.5324
1135000 108.004
1136000 103.454
1137000 106.112
1138000 120.448
1139000 108.819
1140000 99.3339
1141000 96.9869
1142000 99.6026
1143000 111.321
1144000 104.016
1145000 105.811
1146000 94.9112
